gle read:2.00 | controller signal:1300.40 | 
17:37:48.557 -> angle read:25.00 | controller signal:1660.00 | 
17:37:48.626 -> angle read:25.00 | controller signal:1660.00 | 
17:37:48.661 -> angle read:26.00 | controller signal:1660.00 | 
17:37:48.731 -> angle read:25.00 | controller signal:1660.00 | 
17:37:48.766 -> angle read:24.00 | controller signal:1660.00 | 
17:37:48.800 -> angle read:25.00 | controller signal:1660.00 | 
17:37:48.868 -> angle read:25.00 | controller signal:1660.00 | 
17:37:48.903 -> angle read:25.00 | controller signal:1660.00 | 
17:37:48.973 -> angle read:25.00 | controller signal:1660.00 | 
17:37:49.008 -> angle read:25.00 | controller signal:1660.00 | 
17:37:49.077 -> angle read:25.00 | controller signal:1660.00 | 
17:37:49.112 -> angle read:25.00 | controller signal:1660.00 | 
17:37:49.147 -> angle read:25.00 | controller signal:1660.00 | 
17:37:49.215 -> angle read:25.00 | controller signal:1660.00 | 
17:37:49.250 -> angle read:25.00 | controller signal:1660.00 | 
17:37:49.318 -> angle read:25.00 | controller signal:1660.00 | 
17:37:49.352 -> angle read:25.00 | controller signal:1660.00 | 
17:37:49.422 -> angle read:26.00 | controller signal:1660.00 | 
17:37:49.456 -> angle read:25.00 | controller signal:1660.00 | 
17:37:49.525 -> angle read:25.00 | controller signal:1660.00 | 
17:37:49.560 -> angle read:25.00 | controller signal:1660.00 | 
17:37:49.594 -> angle read:25.00 | controller signal:1660.00 | 
17:37:49.663 -> angle read:25.00 | controller signal:1660.00 | 
17:37:49.698 -> angle read:25.00 | controller signal:1660.00 | 
17:37:49.768 -> angle read:25.00 | controller signal:1660.00 | 
17:37:49.802 -> angle read:25.00 | controller signal:1660.00 | 
17:37:49.871 -> angle read:25.00 | controller signal:1660.00 | 
17:37:49.906 -> angle read:25.00 | controller signal:1660.00 | 
17:37:49.974 -> angle read:25.00 | controller signal:1660.00 | 
17:37:50.008 -> angle read:25.00 | controller signal:1660.00 | 
